Brand,Manufacturer,Type,Name,Serving Size,Calories,Total Fat,Sodium,Fiber,Sugar,Protein,Whole Grains,Ingredients,Allegrens,Nutrition Panle,Product Image
Kashi,Kashi,cold cereal,"Kashi GOLEAN Crunch! Cereal",3/4 Cup,190,3 g,100 mg,8 g,13 g,9 g,16 g,"Kashi Seven Whole Grains And Sesame Blend (Whole: Hard Red Wheat, Brown Rice, Barley, Triticale, Oats, Rye, Buckwheat, Sesame Seeds), Soy Flakes, Brown Rice Syrup, Dried Cane Syrup, Chicory Root Fiber, Whole Grain Oats, Expeller Pressed Canola Oil, Honey, Salt, Cinnamon, Mixed Tocopherols For Freshness.","Contains Wheat And Soy Ingredients.",/image/pim/mobile/400_NutritionLabel.jpg,/image/pim/desktop/400_PackShot.png
Kashi,Kashi,cold cereal,"Kashi GOLEAN Crunch! Cereal, Honey Almond Flax",2/3 Cup,200,5 g,140 mg,8 g,12 g,9 g,13 g,"Kashi Seven Whole Grains And Sesame Blend (Whole: Hard Red Wheat, Brown Rice, Barley, Triticale, Oats, Rye, Buckwheat, Sesame Seeds), Soy Flakes, Brown Rice Syrup, Dried Cane Syrup, Chicory Root Fiber, Almonds, Whole Flax Seed, Whole Oats, Expeller Pressed Canola Oil, Honey, Salt, Natural Flavor , Mixed Tocopherols For Freshness.","Contains Wheat, Soy And Almond Ingredients.",/image/pim/mobile/401_NutritionLabel.jpg,/image/pim/desktop/401_PackShot.png
Kashi,Kashi,cold cereal,"Kashi GOLEAN Cereal, Original",1 Cup,160,1 g,90 mg,10 g,9 g,13 g,8 g,"Soy Grits, Honey Puffed Kashi (Hard Red Wheat, Brown Rice, Honey, Cane Syrup, Barley, Triticale, Oats, Rye, Buckwheat, Sesame Seeds), Cane Syrup, Degerminated Yellow Corn Meal, Degerminated Yellow Corn Flour, Wheat Bran, Oat Fiber, Soy Protein Isolate, Corn Bran, Soy Protein Concentrate, Kashi Seven Whole Grains & Sesame Flour (Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seeds), Salt, Natural Flavors, Annatto Color.","Contains Soy And Wheat Ingredients.",/image/pim/mobile/402_NutritionLabel.jpg,/image/pim/desktop/402_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Good Friends Cereal, Original",1 Cup,160,1.5 g,110 mg,12 g,10 g,5 g,10 g,"Wheat Bran, Granola (Whole Grain Oats, Whole Grain Wheat, Brown Rice Syrup, Evaporated Cane Juice, Crisp Rice [Rice Flour, Evaporated Cane Juice, Malt Extract, Salt], Evaporated Cane Juice Syrup, Expeller Pressed Canola Oil, Waxy Maize Starch, Salt, Honey, Natural Flavors, Mixed Tocopherols Added For Freshness), Evaporated Cane Juice Syrup, Yellow Corn Meal, Corn Flour, Kashi Seven Whole Grain & Sesame® Flour (Whole Grain Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seeds), Corn Bran, Oat Fiber, Soy Protein Concentrate, Expeller Pressed Canola Oil, Salt, Natural Flavors, Annatto Color.","Contains Wheat And Soybean Ingredients.",/image/pim/mobile/403_NutritionLabel.jpg,/image/pim/desktop/403_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Heart to Heart Cereal, Honey Toasted Oat",3/4 Cup,120,1.5 g,90 mg,4 g,5 g,4 g,14 g,"Whole Oat Flour, Cane Syrup, Oat Bran, Degerminated Yellow Corn Flour, Degerminated Yellow Corn Meal, Kashi Seven Whole Grain Flour (Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat), Oat Fiber, Honey, Salt, Expeller Pressed Canola Oil, Baking Soda, Vitamin C (Ascorbic Acid), Vitamin E (Alpha Tocopherol Acetate), Mixed Tocopherols For Freshness, Beta Carotene (Source Of Vitamin A), Vitamin B6 (Pyridoxine Hydrochloride), Natural Flavor, Vitamin B12, Folic Acid.","Contains Wheat Ingredients.",/image/pim/mobile/405_NutritionLabel.jpg,/image/pim/desktop/405_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Heart to Heart Cereal, Oat Flakes &amp; Blueberry Clusters",1 Cup,200,2 g,135 mg,4 g,12 g,6 g,14 g,"Oat Blend (Whole Grain Oats, Oat Bran), Rice, Cane Syrup, Rolled Oats, Dried Cane Syrup, Invert Cane Syrup, Kashi Cracked Seven Whole Grain Blend (Whole: Rolled Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat), Brown Rice Syrup, Malt Extract, Multigrain Crisps (Whole Wheat Flour, Brown Rice Flour, Yellow Corn Flour, Cane Syrup, Whole Oat Flour, Wheat Starch, Salt, Calcium Carbonate), Blueberries, Evaporated Salt, Vegetable Juice For Color, Natural Flavor, Mixed Tocopherols For Freshness, Vitamin C (Ascorbic Acid), Vitamin E (Alpha Tocopherol Acetate), Blueberry Juice Concentrate, Baking Soda, Grape Juice Concentrate, Beta Carotene (Source Of Vitamin A), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12, Folic Acid.","Contains Wheat Ingredients",/image/pim/mobile/406_NutritionLabel.jpg,/image/pim/desktop/406_PackShot.png
Kashi,Kashi,cold cereal,"Kashi 7 Whole Grain Cereals, Honey Puffs",1 Cup,120,1 g,0 mg,2 g,6 g,3 g,23 g,"Whole Hard Red Wheat, Whole Brown Rice, Honey, Dried Cane Syrup, Whole Oats, Whole Barley, Whole Triticale, Whole Rye, Whole Buckwheat, Sesame Seeds.","Contains Wheat Ingredients.",/image/pim/mobile/407_NutritionLabel.jpg,/image/pim/desktop/407_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Whole Wheat Biscuits, Autumn Wheat Cereal",29 Biscuits,180,1 g,0 mg,6 g,7 g,6 g,50 g,"Organic Whole Grain Wheat, Organic Dried Cane Syrup, Natural Flavor.","Contains Wheat Ingredients.",/image/pim/mobile/408_NutritionLabel.jpg,/image/pim/desktop/408_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Whole Wheat Biscuits, Cinnamon Harvest Cereal",28 Biscuits,180,1 g,0 mg,5 g,9 g,6 g,47 g,"Organic Whole Grain Wheat, Organic Dried Cane Syrup, Organic Cinnamon, Natural Cinnamon Flavor.","Contains Wheat Ingredients.",/image/pim/mobile/410_NutritionLabel.jpg,/image/pim/desktop/410_PackShot.png
Kashi,Kashi,cold cereal,"Kashi 7 Whole Grain Cereals, Puffs",1 Cup,70,0.5 g,0 mg,1 g,0 g,2 g,18 g,"Kashi Seven Whole Grains & Sesame Blend (Whole Hard Red Wheat, Whole Brown Rice, Whole Oats, Whole Barley, Whole Triticale, Whole Rye, Whole Buckwheat, Sesame Seeds).","Contains Wheat Ingredients.",/image/pim/mobile/412_NutritionLabel.jpg,/image/pim/desktop/412_PackShot.png
Kashi,Kashi,cold cereal,"Kashi 7 Whole Grain Cereals, Flakes",1 Cup,170,0.5 g,150 mg,6 g,6 g,6 g,31 g,"Kashi Seven Whole Grain Blend (Whole: Organic Hard Red Wheat, Oats,  Brown Rice, Triticale, Rye, Barley, Buckwheat), Organic Long Grain Rice, Organic Evaporated Cane Juice, Organic Wheat Bran, Oat Fiber, Barley Malt Extract, Brown Rice Syrup, Salt, Sesame Seeds.","Contains Wheat Ingredients.",/image/pim/mobile/413_NutritionLabel.jpg,/image/pim/desktop/413_PackShot.png
Kashi,Kashi,cold cereal,"Kashi 7 Whole Grain Cereals, Nuggets",1/2 Cup,210,1.5 g,260 mg,7 g,3 g,7 g,51 g,"Whole Wheat Flour, Kashi Seven Whole Grains & Sesame® Flour (Stone Ground Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Buckwheat, Barley, Sesame Seeds), Malted Barley, Salt, Yeast, Mixed Tocopherols For Freshness.","Contains Wheat Ingredients.",/image/pim/mobile/414_NutritionLabel.jpg,/image/pim/desktop/414_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Squares, Honey Sunshine&#174; Cereal",3/4 Cup,100,1 g,135 mg,5 g,6 g,2 g,20 g,"Organic Whole Grain Yellow Corn Meal, Organic Cane Syrup, Whole Wheat Flour, Whole Grain Corn Flour, Whole Grain Barley Flour, Corn Bran, Dried Cane Syrup, Tapioca Starch, Kashi Seven Whole Grains & Sesame Blend (Whole: Oats, Hard Red Wheat, Brown Rice, Rye, Triticale, Barley, Buckwheat, Sesame Seeds), Whole Oat Flour, Honey, Acacia Gum, Expeller Pressed Canola Oil, Salt, Natural Flavor, Mixed Tocopherols For Freshness, Soy Lecithin, Baking Soda, Monk Fruit Extract.","Contains Wheat And Soy Ingredients.",/image/pim/mobile/486_NutritionLabel.jpg,/image/pim/desktop/486_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Whole Wheat Biscuits, Island Vanilla Cereal",27 Biscuits,190,1 g,5 mg,6 g,9 g,6 g,48 g,"Organic Whole Grain Wheat, Organic Dried Cane Syrup, Organic Cane Syrup, Organic Vanilla Bean, Organic Vanilla Extract, Organic Cornstarch, Natural Flavor.","Contains Wheat Ingredients.",/image/pim/mobile/513_NutritionLabel.jpg,/image/pim/desktop/513_PackShot.png
Kashi,Kashi,cold cereal,"Strawberry Fields Cereal",1 Cup,200,0 g,190 mg,3 g,11 g,5 g,18 g,"Organic Long Grain Rice, Organic Hard Red Wheat, Organic Dried Cane Syrup, Organic Freeze-Dried Strawberries, Organic Brown Rice Syrup, Sea Salt, Organic Freeze-Dried Raspberries.","Contains Wheat Ingredients.",/image/pim/mobile/520_NutritionLabel.jpg,/image/pim/desktop/520_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Heart to Heart Cereal, Warm Cinnamon",3/4 Cup,120,1.5 g,85 mg,4 g,5 g,4 g,18 g,"Whole Oat Flour, Cane Syrup, Oat Bran, Degerminated Yellow Corn Meal, Degerminated Yellow Corn Flour, Kashi Seven Whole Grain Flour (Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat), Oat Fiber, Defatted Wheat Germ, Honey, Cinnamon, Salt, Expeller Pressed Canola Oil, Natural Flavor, Vitamin E (Alpha Tocopherol Acetate), Spices, Baking Soda, Vitamin C (Ascorbic Acid), Monk Fruit Extract, Mixed Tocopherols For Freshness, Beta Carotene (Source Of Vitamin A), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12, Folic Acid, Turmeric For Color.","Contains Wheat Ingredients",/image/pim/mobile/533_NutritionLabel.jpg,/image/pim/desktop/533_PackShot.png
Kashi,Kashi,cold cereal,"Kashi GOLEAN Crisp! Cereal, Toasted Berry Crumble",3/4 Cup,,4 g,125 mg,8 g,11 g,9 g,18 g,"Whole Grain Oats, Soy Flakes, Dried Cane Syrup,  Wheat Sticks (Whole Wheat Flour, Kashi Seven Whole Grains And Sesame Flour [Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seeds], Calcium Carbonate), Brown Rice Syrup,  Chicory Root Fiber, Defatted Soy Grits, Cranberries (Cranberries, Cane Syrup, Vegetable Glycerin, Rice Flour, Expeller Pressed Canola Oil), Expeller Pressed Canola Oil, Degerminated Yellow Corn Flour, Soy Protein Isolate, Oat Fiber, Dried Blueberries (Blueberries, Dried Cane Syrup, Rice Flour, Sunflower Oil), Baking Soda, Natural Flavors, Evaporated Salt, Mixed Tocopherols For Freshness, Soy Lecithin.","Contains Soy And Wheat Ingredients",/image/pim/mobile/538_NutritionLabel.jpg,/image/pim/desktop/538_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Squares, Berry Blossoms Cereal",3/4 Cup,100,1 g,125 mg,6 g,7 g,2 g,18 g,"Organic Whole Grain Yellow Corn Meal, Organic Cane Syrup, Graham Flour, Corn Bran, Whole Grain Barley Flour, Dried Cane Syrup, Honey, Tapioca Starch, Whole Oat Flour, Kashi Seven Whole Grains & Sesame Blend (Whole: Oats, Hard Red Wheat, Brown Rice, Rye, Triticale, Barley, Buckwheat, Sesame Seeds), Acacia Gum, Invert Cane Syrup, Berry Powder (Dried: Strawberries, Blackberries, Blueberries), Salt, Expeller Pressed Canola Oil, Natural Flavor, Soy Lecithin, Mixed Tocopherols For Freshness, Malic Acid, Baking Soda, Citric Acid, Monk Fruit Extract.","Contains Wheat And Soy Ingredients.",/image/pim/mobile/546_NutritionLabel.jpg,/image/pim/desktop/546_PackShot.png
Kashi,Kashi,cold cereal,"Kashi GOLEAN Crisp! Cereal, Cinnamon Crumble",3/4 cup,180,4 g,125 mg,9 g,9 g,10 g,20 g,"Whole Grain Oats, Soy Flakes, Dried Cane Syrup, Defatted Soy Grits, Wheat Sticks (Whole Wheat Flour, Kashi Seven Whole Grains And Sesame Flour [Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seeds], Calcium Carbonate), Brown Rice Syrup, Chicory Root Fiber, Expeller Pressed Canola Oil, Degerminated Yellow Corn Flour, Soy Protein Isolate, Oat Fiber, Cinnamon, Baking Soda, Natural Flavors, Evaporated Salt, Mixed Tocopherols For Freshness, Soy Lecithin.","Contains Soy And Wheat Ingredients.",/image/pim/mobile/555_NutritionLabel.jpg,/image/pim/desktop/555_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Organic Corn Flakes, Simply Maize Cereal",3/4 Cup,100,1 g,110 mg,2 g,6 g,2 g,23 g,"Organic Whole Grain Corn, Organic Dried Cane Syrup, Salt, Organic Molasses.","No Allergens",/image/pim/mobile/567_NutritionLabel.jpg,/image/pim/desktop/567_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Organic Corn Flakes, Indigo Morning Cereal",3/4 Cup,100,1 g,125 mg,2 g,6 g,2 g,22 g,"Organic Whole Grain Corn, Organic Dried Cane Syrup, Organic Freeze-Dried Blackberries, Organic Freeze-Dried Blueberries,  Salt, Organic Molasses, Natural Flavor, Organic Vanilla Extract.","No allergens",/image/pim/mobile/568_NutritionLabel.jpg,/image/pim/desktop/568_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Whole Wheat Biscuits, Berry Fruitful Cereal",29 Biscuits,170,0.5 g,0 mg,6 g,8 g,6 g,46 g,"Organic Whole Grain Wheat, Organic Dried Cane Syrup, Organic Concord Grape Juice Concentrate, Organic Invert Dried Cane Syrup, Organic Corn Starch, Organic Apple Powder, Vegetable Glycerin, Organic Red Raspberry Puree Concentrate, Organic Strawberry Puree Concentrate.","Contains Wheat Ingredients.",/image/pim/mobile/586_NutritionLabel.jpg,/image/pim/desktop/586_PackShot.png
Kashi,Kashi,cold cereal,"Kashi GOLEAN Cereal, Vanilla Graham Clusters",1 Cup,170,1.5 g,85 mg,9 g,9 g,11 g,12 g,"Soy Grits, Kashi Seven Whole Grain Honey Puffs (Whole Hard Red Wheat, Whole Brown Rice, Honey, Cane Syrup, Whole Barley, Whole Triticale, Whole Oats, Whole Rye, Whole Buckwheat, Sesame Seeds), Cane Syrup, Degerminated Yellow Corn Meal, Degerminated Yellow Corn Flour, Wheat Bran, Oat Fiber, Soy Protein Isolate, Rolled Oats, Corn Bran, Dried Cane Syrup, Soy Protein Concentrate, Kashi Seven Whole Grains & Sesame Flour (Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seed), Brown Rice Syrup, Graham Flour, Honey, Brown Rice Flour, Natural Flavors, Molasses, Salt, Whole Oat Flour, Wheat Starch, Baking Soda, Calcium Carbonate, Mixed Tocopherols For Freshness, Annatto Color.","Contains Soy And Wheat Ingredients.",/image/pim/mobile/1086_NutritionLabel.jpg,/image/pim/desktop/1086_PackShot.png
Kashi,Kashi,cold cereal,"Kashi Raisin Vineyard Cereal",2/4 Cup,,0 g,140 mg,2 g,12 g,,12 g,"Organic Long Grain Rice, Organic Hard Red Wheat, Organic Raisins (Organic Raisins, Organic Sunflower Oil), Organic Dried Cane Syrup, Organic Quinoa, Organic Brown Rice Syrup, Sea Salt, Organic Cinnamon.",,/image/pim/mobile/2082_NutritionLabel.jpg,/image/pim/desktop/2082_PackShot.png
Kashi,Kashi,hot cereal,"Heart to Heart Oatmeal, Golden Maple",1 Packet,150,2 g,95 mg,5 g,10 g,5 g,30 g,"Whole Grain Oats, Dried Cane Syrup, Chicory Root Fiber, Potassium Chloride, Salt, Natural Flavor.",,/image/pim/mobile/443_NutritionLabel.jpg,/image/pim/desktop/443_PackShot.png
Kashi,Kashi,hot cereal,"Heart to Heart Oatmeal, Apple Cinnamon",1 Packet,150,2 g,90 mg,5 g,11 g,5 g,28 g,"Whole Grain Oats, Dried Cane Syrup, Dried Apples, Chicory Root Fiber, Cinnamon, Potassium Chloride, Salt, Natural Flavors.",,/image/pim/mobile/444_NutritionLabel.jpg,/image/pim/desktop/444_PackShot.png
Kashi,Kashi,hot cereal,"GOLEAN&#174; Hot Cereal, Creamy Truly Vanilla&#174;",1 Packet,140,2 g,110 mg,7 g,6 g,9 g,20 g,"Whole Grain Oats, Dried Cane Syrup, Chicory Root Fiber, Rolled Whole Grain Blend (Hard Red Wheat, Oats, Rye, Triticale, Barley), Whey Protein Isolate, Soy Protein Isolate, Whole Flax Seeds, Natural Vanilla Flavor, Potassium Chloride, Dried Molasses, Salt, Kashi Seven Whole Grains & Sesame Flour (Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seed), Cinnamon.","Contains Wheat, Milk And Soy Ingredients.",/image/pim/mobile/447_NutritionLabel.jpg,/image/pim/desktop/447_PackShot.png
Kashi,Kashi,hot cereal,"GOLEAN&#174; Hot Cereal, Hearty Honey Cinnamon",1 Packet,150,2 g,100 mg,5 g,7 g,8 g,20 g,"Kashi Golean Crunch Cereal!!® (Kashi Seven Whole Grains & Sesame® Blend  [Whole: Hard Red Wheat, Brown Rice, Barley, Triticale, Oats, Rye, Buckwheat, Sesame Seeds], Soy Protein Concentrate, Evaporated Cane Juice Crystals, Brown Rice Syrup, Chicory Root Fiber, Whole Grain Oats, Expeller Pressed Canola Oil, Honey, Salt, Cinnamon, Mixed Tocopherols For Freshness), Whole Grain Oats, Kashi Rolled Whole Grain Blend (Whole: Hard Red Wheat, Oats, Rye, Triticale, Barley), Soy Protein Isolate, Evaporated Cane Juice Crystals, Evaporated Salt, Potassium Chloride, Cinnamon, Whey Protein Isolate, Natural Flavor.","Contains Wheat, Soy And Milk Ingredients.",/image/pim/mobile/448_NutritionLabel.jpg,/image/pim/desktop/448_PackShot.png
Kashi,Kashi,snack bars,"Kashi&#174; Chewy Granola Bars, Trail Mix",1 Bar,140,5 g,95 mg,4 g,6 g,6 g,11 g,"Rolled Whole Grain Blend (Hard Red Wheat, Oats, Rye, Triticale, Barley), Roasted Salted Whole Almonds, Brown Rice Syrup, Soy Protein Isolate, Dried Cane Syrup, Soy Grits, Chicory Root Fiber, Raisins, Sunflower Seeds, Cane Syrup, Cranberries, Vegetable Glycerin, Corn Flour, Honey, Rice Starch, Expeller Pressed Canola Oil, Oat Fiber, Evaporated Salt, Natural Flavors, Molasses, Kashi Seven Whole Grains & Sesame Flour (Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seeds), Sunflower Oil, Soy Lecithin, Peanut Flour, Whey Protein Isolate.","Contains Wheat, Almond, Soy, Peanut And Milk Ingredients. May Contain Other Tree Nuts.",/image/pim/mobile/436_NutritionLabel.jpg,/image/pim/desktop/436_PackShot.png
Kashi,Kashi,snack bars,"Kashi&#174; Chewy Granola Bars, Honey Almond Flax",1 Bar,140,5 g,105 mg,4 g,5 g,7 g,11 g,"Rolled Whole Grain Blend (Hard Red Wheat, Oats, Rye, Triticale, Barley), Roasted Salted Whole Almonds, Brown Rice Syrup, Soy Protein Isolate, Soy Grits, Dried Cane Syrup, Chicory Root Fiber, Whole Flax Seeds, Cane Syrup, Rice Starch, Corn Flour, Honey, Expeller Pressed Canola Oil, Vegetable Glycerin, Oat Fiber, Natural Flavors, Evaporated Salt, Kashi Seven Whole Grains & Sesame Flour (Whole: Oats, Hard Red Wheat, Rye, Brown Rice, Triticale, Barley, Buckwheat, Sesame Seeds), Molasses, Soy Lecithin, Peanut Flour, Whey Protein Isolate.","Contains Wheat, Almond, Soy, Peanut And Milk Ingredients. May Contain Other Tree Nuts.",/image/pim/mobile/437_NutritionLabel.jpg,/image/pim/desktop/437_PackShot.png
